	hic	dist	signif	cell	data_type
1	16.2236121970289	inside	1	neut	hist
2	17.2413793103448	0-10kb	1	neut	hist
3	16.8458781362007	10-20kb	1	neut	hist
4	13.6518771331058	20-50kb	1	neut	hist
5	14.9565217391304	50-100kb	1	neut	hist
6	13.8225255972696	100-200kb	1	neut	hist
7	8.0824088748019	200-500kb	1	neut	hist
8	5.98290598290598	0.5-1Mb	1	neut	hist
9	21.0444874274662	inside	0	neut	hist
10	14.2721217887726	0-10kb	0	neut	hist
11	14.6818923327896	10-20kb	0	neut	hist
12	14.1331834785052	20-50kb	0	neut	hist
13	15.6401944894652	50-100kb	0	neut	hist
14	13.2815084353291	100-200kb	0	neut	hist
15	7.66482718559396	200-500kb	0	neut	hist
16	2.5413355612116	0.5-1Mb	0	neut	hist
17	17.6341730558598	inside	1	mono	hist
18	15.4545454545455	0-10kb	1	mono	hist
19	15.8536585365854	10-20kb	1	mono	hist
20	15.3262518968134	20-50kb	1	mono	hist
21	15.748031496063	50-100kb	1	mono	hist
22	15.061295971979	100-200kb	1	mono	hist
23	8.54545454545454	200-500kb	1	mono	hist
24	5.25210084033613	0.5-1Mb	1	mono	hist
25	18.796835970025	inside	0	mono	hist
26	15.158924205379	0-10kb	0	mono	hist
27	14.6505376344086	10-20kb	0	mono	hist
28	12.2324159021407	20-50kb	0	mono	hist
29	12.200488997555	50-100kb	0	mono	hist
30	10.4019341190692	100-200kb	0	mono	hist
31	5.5274342709468	200-500kb	0	mono	hist
32	1.68015110083726	0.5-1Mb	0	mono	hist
33	28.8056206088993	inside	1	tcell	hist
34	26.3473053892216	0-10kb	1	tcell	hist
35	17.5824175824176	10-20kb	1	tcell	hist
36	19.2513368983957	20-50kb	1	tcell	hist
37	26.984126984127	50-100kb	1	tcell	hist
38	29.5454545454545	100-200kb	1	tcell	hist
39	17.3553719008264	200-500kb	1	tcell	hist
40	4.59770114942529	0.5-1Mb	1	tcell	hist
41	31.9183673469388	inside	0	tcell	hist
42	22.9828850855746	0-10kb	0	tcell	hist
43	18.6708860759494	10-20kb	0	tcell	hist
44	17.4302075876879	20-50kb	0	tcell	hist
45	18.7647437272142	50-100kb	0	tcell	hist
46	15.6633099824869	100-200kb	0	tcell	hist
47	7.99826553137811	200-500kb	0	tcell	hist
48	2.47338760175329	0.5-1Mb	0	tcell	hist
49	10.077519379845	inside	1	neut	methyl
50	9.70464135021097	0-10kb	1	neut	methyl
51	6.86274509803922	10-20kb	1	neut	methyl
52	8.69565217391304	20-50kb	1	neut	methyl
53	12.4324324324324	50-100kb	1	neut	methyl
54	7.54716981132075	100-200kb	1	neut	methyl
55	7.6555023923445	200-500kb	1	neut	methyl
56	3.38983050847458	0.5-1Mb	1	neut	methyl
57	8.72093023255814	inside	0	neut	methyl
58	8.41189267585207	0-10kb	0	neut	methyl
59	8.52713178294574	10-20kb	0	neut	methyl
60	8.38323353293413	20-50kb	0	neut	methyl
61	9.14009661835749	50-100kb	0	neut	methyl
62	9.75354458083547	100-200kb	0	neut	methyl
63	5.36449342716771	200-500kb	0	neut	methyl
64	1.72254161014577	0.5-1Mb	0	neut	methyl
65	8.79120879120879	inside	1	mono	methyl
66	10.2803738317757	0-10kb	1	mono	methyl
67	6.42201834862385	10-20kb	1	mono	methyl
68	10.4166666666667	20-50kb	1	mono	methyl
69	11.1627906976744	50-100kb	1	mono	methyl
70	9.57446808510638	100-200kb	1	mono	methyl
71	4.51977401129944	200-500kb	1	mono	methyl
72	0.819672131147541	0.5-1Mb	1	mono	methyl
73	9.34383202099738	inside	0	mono	methyl
74	7.67455279861512	0-10kb	0	mono	methyl
75	8.51602023608769	10-20kb	0	mono	methyl
76	7.006197790353	20-50kb	0	mono	methyl
77	9.01105558079661	50-100kb	0	mono	methyl
78	8.93059009721908	100-200kb	0	mono	methyl
79	4.23985780008365	200-500kb	0	mono	methyl
80	1.16541480009431	0.5-1Mb	0	mono	methyl
81	14.0510948905109	inside	1	tcell	methyl
82	14.5669291338583	0-10kb	1	tcell	methyl
83	13.75	10-20kb	1	tcell	methyl
84	10.126582278481	20-50kb	1	tcell	methyl
85	14.7651006711409	50-100kb	1	tcell	methyl
86	14.1592920353982	100-200kb	1	tcell	methyl
87	6.10687022900763	200-500kb	1	tcell	methyl
88	12.6126126126126	0.5-1Mb	1	tcell	methyl
89	13.7800252844501	inside	0	tcell	methyl
90	12.6961483594864	0-10kb	0	tcell	methyl
91	9.04255319148936	10-20kb	0	tcell	methyl
92	10.0227051573143	20-50kb	0	tcell	methyl
93	11.4988978692138	50-100kb	0	tcell	methyl
94	10.5791233937687	100-200kb	0	tcell	methyl
95	5.60573695453158	200-500kb	0	tcell	methyl
96	1.68301842276007	0.5-1Mb	0	tcell	methyl
