CRD_ID	CRD_ID_start	CRD_ID_end	gene1	gene2	gene1_start	gene2_start	adj_pval	dist_btw_genes	meanCRD_dist_2_genes	CRD_gene1_dist	CRD_gene2_dist	pval_CRDgene1	pval_CRDgene2	meanHiC_CRD_genes	sameCRD
11_internal_8470	60130798	60147287	ENSG00000166926.4	ENSG00000166928.6	60102304	60146003	8.87269864898641e-54	43699	14247	28494	0	1.26293e-07	5.85775e-10	0	0
11_internal_8470	60130798	60147287	ENSG00000166926.4	ENSG00000257052.1	60102304	60674261	0.793307833015193	571957	277734	28494	526974	1.26293e-07	0.00164822	0	0
11_internal_8470	60130798	60147287	ENSG00000166928.6	ENSG00000257052.1	60146003	60674261	0.44872904832348	528258	263487	0	526974	5.85775e-10	0.00164822	0	0
11_internal_10630	60970045	61066032	ENSG00000229183.4	ENSG00000256713.2	60989688	61008514	7.18061287098649e-79	18826	0	0	0	5.64557e-12	1.95071e-13	0	0
11_internal_8702	61661881	61691627	ENSG00000149483.6	ENSG00000162144.4	61129473	61129771	2.38429296614702e-40	298	532259	532408	532110	0.000385077	0.00138757	0	0
11_internal_10600	61354797	61485430	ENSG00000134780.5	ENSG00000124915.6	61447905	61525127	7.69684488670228e-23	77222	19848	0	39697	6.85598e-14	4.34421e-07	0	0
11_internal_7910	62378482	62447352	ENSG00000134780.5	ENSG00000149489.4	61447905	62379194	0.894942569698593	931289	465288	930577	0	0.000319581	0.000605535	0	0
11_internal_12521	61581730	61604564	ENSG00000124920.9	ENSG00000134824.9	61520114	61560452	0.097945322110543	40338	41447	61616	21278	6.77472e-06	9.36238e-25	0	0
11_internal_11944	61879583	62139223	ENSG00000162174.8	ENSG00000255118.1	62104920	62105562	9.64184725423069e-19	642	0	0	0	6.14516e-19	1.03563e-05	0	0
11_internal_11944	61879583	62139223	ENSG00000162174.8	ENSG00000255126.1	62104920	62160844	1.07971263142091e-110	55924	10810	0	21621	6.14516e-19	1.52737e-16	0	0
11_internal_11944	61879583	62139223	ENSG00000255118.1	ENSG00000255126.1	62105562	62160844	1.89057307873845e-16	55282	10810	0	21621	1.03563e-05	1.52737e-16	0	0
11_internal_8564	62157718	62163295	ENSG00000162174.8	ENSG00000162174.8	62104920	62104920	1	0	52798	52798	52798	0.82939	5.47925e-05	0	0
11_internal_8564	62157718	62163295	ENSG00000162174.8	ENSG00000255118.1	62104920	62105562	9.64184725423069e-19	642	52477	52798	52156	0.82939	0.000277281	0	0
11_internal_8564	62157718	62163295	ENSG00000162174.8	ENSG00000255126.1	62104920	62160844	1.07971263142091e-110	55924	26399	52798	0	0.82939	0.810251	0	0
11_internal_8564	62157718	62163295	ENSG00000162174.8	ENSG00000255126.1	62104920	62160844	1.07971263142091e-110	55924	26399	52798	0	0.82939	0.000516206	0	0
11_internal_8564	62157718	62163295	ENSG00000162174.8	ENSG00000255118.1	62104920	62105562	9.64184725423069e-19	642	52477	52798	52156	5.47925e-05	0.000277281	0	0
11_internal_8564	62157718	62163295	ENSG00000162174.8	ENSG00000255126.1	62104920	62160844	1.07971263142091e-110	55924	26399	52798	0	5.47925e-05	0.810251	0	0
11_internal_8564	62157718	62163295	ENSG00000162174.8	ENSG00000255126.1	62104920	62160844	1.07971263142091e-110	55924	26399	52798	0	5.47925e-05	0.000516206	0	0
11_internal_8564	62157718	62163295	ENSG00000255118.1	ENSG00000255126.1	62105562	62160844	1.89057307873845e-16	55282	26078	52156	0	0.000277281	0.810251	0	0
11_internal_8564	62157718	62163295	ENSG00000255118.1	ENSG00000255126.1	62105562	62160844	1.89057307873845e-16	55282	26078	52156	0	0.000277281	0.000516206	0	0
11_internal_8564	62157718	62163295	ENSG00000255126.1	ENSG00000255126.1	62160844	62160844	1	0	0	0	0	0.810251	0.000516206	0	0
11_internal_10917	62164836	62231477	ENSG00000149021.2	ENSG00000255446.1	62172575	62194196	7.59000800168411e-34	21621	0	0	0	4.01539e-07	2.4034e-11	3.46925292048582	0
11_internal_10917	62164836	62231477	ENSG00000149021.2	ENSG00000124942.8	62172575	62323719	0.459671910578943	151144	46121	0	92242	4.01539e-07	0.000439922	3.46925292048582	0
11_internal_10917	62164836	62231477	ENSG00000255446.1	ENSG00000124942.8	62194196	62323719	0.445583169253878	129523	46121	0	92242	2.4034e-11	0.000439922	3.46925292048582	0
11_internal_8334	63718621	63745389	ENSG00000167771.5	ENSG00000110583.8	63684316	63706431	0.955660333894483	22115	23247	34305	12190	0.00060569	0.000199188	0.91974279295959	0
11_internal_8334	63718621	63745389	ENSG00000167771.5	ENSG00000256116.1	63684316	64001824	0.84559922380521	317508	145370	34305	256435	0.00060569	0.00276916	0.91974279295959	0
11_internal_8334	63718621	63745389	ENSG00000110583.8	ENSG00000256116.1	63706431	64001824	0.778950486123982	295393	134312	12190	256435	0.000199188	0.00276916	4.35347800138607	0
11_internal_11465	64140306	64218486	ENSG00000162302.8	ENSG00000231680.1	64126620	64163303	1.48255990938144e-29	36683	6843	13686	0	1.09792e-26	1.84291e-28	7.2451130627008	0
